,,Do not make changes to the yellow columns. Changes should only be made in the final four columns shaded blue >>>>>>,,,,,,,,,,,,,,,Use these four columns to propose amendments,,,
Undergraduate,MATH300,Geometry and Topology,3,Science,,(39cp at 100 level or above) including MATH235,,,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH331,Waves,3,Science,,MATH235 and (MATH232 or MATH236),,,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH332,Nonlinear Dynamics and Chaos,3,Science,,MATH235 and (MATH232 or MATH236),,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH335,Mathematical Methods,3,Science,,MATH235 and (MATH232 or MATH236),,,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH336,Partial Differential Equations,3,Science,,MATH235 and (MATH232 or MATH236),MATH331 or MATH332 or MATH335 or MATH339,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH337,Algebra IIIA,3,Science,,(39cp at 100 level or above) including MATH235,MATH300 or MATH331 or MATH335,,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH338,Algebra IIIB,3,Science,,,MATH337,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH339,Real and Functional Analysis,3,Science,,(MATH235 and MATH236) or MATH331 or MATH332 or MATH335 or MATH336,,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,MATH388,Mathematics III Advanced,3,Science,,Admission to BAdvSc and (MATH232(D) or MATH236(D)) and permission by special approval,MATH335 and MATH337,,S1 Day,,Department of Mathematics,No,MATH288,none,no quota,No,,,,
Undergraduate,MATH399,Participation and Community Engagement in Mathematics,3,Science,PACE,(MATH235 or MATH232) and permission by special approval,MATH236,,S2 Day,,Department of Mathematics,No,none,none,no quota,Yes,,,,
Undergraduate,MECH201,Engineering Dynamics,3,"Engineering, Science",,(ENGG150 or ENGG170 or ELEC170(P)) and (MATH133 or MATH136(P)) and ((PHYS106 and PHYS107) or (PHYS140(P) and PHYS143(P))),,,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,MECH202,Fluid Mechanics,3,"Engineering, Science",,(MATH133 or MATH136(P)) and ((PHYS106 and PHYS107) or (PHYS140(P) and PHYS143(P))),,,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,MECH203,Mechanical Design 1,3,"Engineering, Science",,(ENGG150 or ENGG170 or ELEC170(P)) and (MATH132 or MATH135(P)) and ((PHYS106 and PHYS107) or (PHYS140(P) and PHYS143(P))),,,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,MECH204,Mechanics of Solids,3,"Engineering, Science",,(ENGG150 or ENGG170 or ELEC170(P)) and (MATH133 or MATH136(P)) and ((PHYS106 and PHYS107) or (PHYS140(P) and PHYS143(P))),,,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,MECH205,Engineering Materials,3,"Engineering, Science",,(ENGG170 or ELEC170 or ENGG150) and (MATH132 or MATH135),,ENGG250,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,MECH301,Thermodynamics,3,"Engineering, Science",,6cp at 200 level including MECH202,,,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,MECH302,Heat and Mass Transfer,3,"Engineering, Science",,(39cp at 100 level or above) including MECH202,,,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,MECH303,Mechanical Design 2,3,"Engineering, Science",,MECH201 and MECH203 and MECH204,,,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,MECH304,Applied Numerical Engineering,3,Engineering,,COMP115 and MECH202 and MECH204,,,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,MECH401,Product Design Engineering,3,Engineering,,9cp at 300 level including MECH303,,,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,MECH402,Energy Sustainable Design,3,Engineering,,MECH301 and MECH302,,,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,PHYS106,Electric and Magnetic Interactions,3,"Engineering, Science",,PHYS107,MATH132 or MATH135,"PHYS140, PHYS143",S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS107,Modern Mechanics,3,"Engineering, Science",,[(HSC Mathematics Band 4-6 or Extension 1 Band E2-E4 or Extension 2) or MATH130 or MATH123(HD)] and (PHYS130 or HSC Physics Band 4 or 5 or 6),,"PHYS140, PHYS143",S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,Pre-req, (HSC Mathematics Band 4-6 or Extension 1 Band E2-E4 or Extension 2) or MATH130 or MATH123(HD),,M. Hitchens
Undergraduate,PHYS130,Foundations of Physics,3,Science,,MATH130 or HSC Mathematics Band 4,,HSC Physics Band 5 or 6,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS140,Physics IA,3,"Engineering, Science",,(HSC Mathematics Band 4-6 or Extension 1 Band E2-E4 or Extension 2) or MATH130 or MATH123(HD),,"PHYS106, PHYS107, PHYS149",S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS143,Physics IB,3,"Engineering, Science",,(HSC Mathematics Band 4-6 or Extension 1 Band E2-E4 or Extension 2) or MATH130 or MATH123(HD),,"PHYS106, PHYS107, PHYS149",S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS149,Physics for Life Sciences,3,"Medical Sciences, Science",,(HSC Mathematics Band 4-6 or Extension 1 Band E2-E4 or Extension 2) or MATH130 or MATH123(HD),,"PHYS106, PHYS107, PHYS140, PHYS143",S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS188,Advanced Physics I,3,Science,,Admission to BAdvSc,,,FY1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS201,Classical and Quantum Oscillations and Waves,3,"Engineering, Science",,((PHYS106 and PHYS107) or (PHYS140 and PHYS143)) and (MATH133 or MATH136) ,,,S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS202,Electromagnetism and Thermodynamics,3,"Engineering, Science",,(MATH133 or MATH136) and [(PHYS140 and PHYS143) or (PHYS106 and PHYS107)],MATH235,,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS221,Introduction to Optical Science and Technology,3,"Engineering, Science",,(MATH132 or MATH135) and [(PHYS140 and PHYS143) or (PHYS106 and PHYS107) or PHYS149],,"OPTO200, OPTO221, PHTN221",S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS242,Big Ideas in Science,3,Science,Planet,12cp at 100 level or above,,,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS246,Advanced Physics II,3,Science,,(PHYS140(D) and PHYS143(D)) or (PHYS107(D) and PHYS106(D)),PHYS201,,FY1 Day,,Department of Physics and Astronomy,No,"PHYS388, ",none,no quota,No,,,,
Undergraduate,PHYS301,Classical Electrodynamics,3,"Engineering, Science",,MATH235 and PHYS201 and PHYS202,,,S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS303,Quantum Mechanics and Atomic Physics,3,"Engineering, Science",,MATH235 and PHYS201 and PHYS202,PHYS301,,S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS304,Advanced Quantum Mechanics and Quantum Optics,3,"Engineering, Science",,PHYS303,,,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS306,Optical Physics,3,"Engineering, Science",,PHYS301,,,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS308,Condensed Matter and Nanoscale Physics,3,Science,,PHYS201 and PHYS202 and MATH235,"PHYS301
",,S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,PHYS311,Professional Physics,3,Science,PACE,PHYS301,,"ASTR310, PHYS310, PHTN310
",S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,Yes,,,,
Undergraduate,PHYS388,Advanced Physics III,3,Science,,(PHYS188 and PHYS201(D) and PHYS202(D)),MATH235,,FY1 Day,,Department of Physics and Astronomy,No,PHYS246,none,no quota,No,,,,
Undergraduate,STAT150,Business Statistics,3,"Commerce, Science",,,,"STAT170, STAT171, WSTA150, PSY122, STAT122","S1 Day
S1 Evening
S2 Day
S3 Day","


",Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT170,Introductory Statistics,3,"Commerce, Engineering, Medical Sciences, Science",Planet,,,"PSY122, STAT122, STAT171, STAT150, WSTA150","S1 Day
S1 External
S2 Day","
None
",Department of Statistics,No,none,none,,No,,,,
Undergraduate,STAT171,Statistical Data Analysis,3,"Commerce, Engineering, Medical Sciences, Science",,(HSC Mathematics Extension 1 or Extension 2) or (3cp from MATH130-MATH136(P)) or admission to BActStud,,"PSY122, STAT122, STAT170, STAT150, WSTA150",S1 Day,,Department of Statistics,No,none,none,no quota,No,,,no changes,Suzanne Curtis
Undergraduate,STAT175,"Gambling, Sport and Medicine",3,"Commerce, Science",Planet,,,,"S1 Evening
S2 Day","
",Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT270,Applied Statistics,3,"Commerce, Engineering, Science",,STAT170(P) or STAT171 or STAT150,,"BIOL235, PSY222, PSY248, STAT271","S1 Day
S2 Evening","
",Department of Statistics,No,STAT680,none,no quota,No,,,,
Undergraduate,STAT271,Statistics I,3,"Commerce, Engineering, Science",,STAT272,,"BIOL235, PSY222, PSY248, STAT270",S2 Day,,Department of Statistics,No,none,none,no quota,No,,,no changes,Suzanne Curtis
Undergraduate,STAT272,Probability,3,"Commerce, Engineering, Science",,STAT171 and (MATH133(P) or MATH136(P)),,STAT273,S1 Day,,Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT273,Introduction to Probability,3,"Commerce, Engineering, Science",,(STAT170(P) or STAT171 or STAT150) and ((HSC Mathematics Band 2 or Extension 1 or Extension 2) or 3cp from MATH111-MATH339),,STAT272,"S1 Day
S2 Day","
",Department of Statistics,No,STAT683,none,no quota,No,,,,
Undergraduate,STAT278,Computer Simulation,3,"Commerce, Science",,STAT171 or STAT273 or ((STAT170(P) or STAT150) and 3cp from COMP units at 100 level),,,S1 Day,,Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT279,Operations Research I,3,"Commerce, Science",,STAT150 or STAT170(P) or STAT171,,,"S1 Day
S2 Evening","
",Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT302,"Graphics, Multivariate Methods and Data Mining",3,"Commerce, Science",,6cp at 200 level including (STAT270 or STAT271 or BIOL235(P) or PSY222 or PSY248(P)),,STAT396,S2 Day,,Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT306,Statistical Inference,3,"Commerce, Science",,6cp at 200 level including (STAT272 or STAT273),,STAT371,S1 Day,,Department of Statistics,No,STAT806,none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Undergraduate,STAT321,Logistics and Project Management,3,"Commerce, Science",,6cp at 200 level including STAT279,,STAT327,S1 Day,,Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT328,Market Research and Forecasting,3,"Commerce, Science",,6cp at 200 level including (STAT270 or STAT271 or BIOL235(P) or PSY222 or PSY248(P)),,,S2 Day,,Department of Statistics,No,"STAT826, STAT726",none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Undergraduate,STAT373,Design of Surveys and Experiments,3,"Commerce, Science",,6cp at 200 level including (STAT270 or STAT271 or BIOL235(P) or PSY222 or PSY248(P)),,STAT303,S1 Day,,Department of Statistics,No,"STAT814, STAT714",none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Undergraduate,STAT375,Linear Models,3,"Commerce, Science",,6cp at 200 level including (STAT270 or STAT271 or BIOL235(P) or PSY222 or PSY248(P)),,"PSY331, STAT320",S1 Day,,Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT378,Statistical Computing,3,"Commerce, Science",,6cp at 200 level including (STAT272 or STAT273 or STAT278),,,S2 Day,,Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT379,Operations Research II,3,"Commerce, Science",,6cp at 200 level including STAT279(P),,,S1 Day,,Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT394,"Probability, Random Processes and Statistics for Engineers",3,"Engineering, Science",,6cp at 200 level including MATH235(P),,MATH396,S1 Day,,Department of Statistics,No,none,none,no quota,No,,,,
Undergraduate,STAT395,Biostatistics and Epidemiology,3,"Commerce, Medical Sciences, Science",,6cp at 200 level including (STAT270 or STAT271 or BIOL235(P) or PSY222 or PSY248(P)),,STAT304,S2 Day,,Department of Statistics,No,"STAT818, STAT718",none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Undergraduate,STAT399,Consulting in Statistical Sciences,3,"Commerce, Science",PACE,6cp from STAT units at 300 level including STAT375 or STAT379,,,S2 Day,,Department of Statistics,No,none,none,no quota,Yes,,,,
Undergraduate,STAT402,Topics in Stochastic Finance,3,"Commerce, Science",,(39cp at 100 level or above) including (STAT272 or STAT306 or STAT371),,STAT401,TBD,,Department of Statistics,No,"STAT890, STAT790",none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Undergraduate,STAT411,Generalised Linear Models,3,"Commerce, Science",,(39cp at 100 level or above) including (STAT272 or STAT306 or STAT371),,,TBD,,Department of Statistics,No,"STAT811, STAT711",none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Graduate,BIOL601,Ecology,4,,Graduate,Admission to MConsBiol or GradDipConsBiol or GradCertConsBiol or MSc,,BIOL227,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,"BIOL227, ",none,no quota,No,,,,
Graduate,BIOL602,Evolution,4,,Graduate,Admission to MConsBiol or GradDipConsBiol or GradCertConsBiol or MSc,,BIOL262,"S1 Day
S1 External","
",Department of Biological Sciences,No,"BIOL262, ",none,no quota,No,"On Campus Attendance

",compulsory,,
Graduate,BIOL603,Biological Data Analysis,4,,Graduate,Admission to MConsBiol or GradDipConsBiol or GradCertConsBiol or MSc,,BIOL235,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,"BIOL235, ",none,no quota,No,,,,
Graduate,BIOL604,Genetics,4,,Graduate,Admission to MBiotech or MConsBiol or GradDipConsBiol or GradCertConsBiol or MSc,,BIOL206,"S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,BIOL206,none,no quota,No,,,,
Graduate,BIOL605,Organismal Biology,4,,Graduate,Admission to MBiotech or MConsBiol or GradDipConsBiol or GradCertConsBiol or MSc,,BIOL208,"S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,"BIOL228, ",none,no quota,No,,,,
Graduate,BIOL606,Comparative Physiology,4,,Graduate,"Admission to MBiotech or MConsBiol or GradDipConsBiol or GradCertConsBiol or MSc
",,BIOL210,"S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,"BIOL229, ",none,no quota,No,,,,
Graduate,CBMS604,Organic Synthesis,4,,Graduate,CBMS603 and (admission to MLabQAMgt or MRadiopharmSc or MSc or MBiotech or MBioBus),,CBMS204,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS204, ",none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS625 in 2018,Robert Willows
Graduate,CBMS606,Medicinal Chemistry,4,,Graduate,(Admission to MBiotech or MBioBus or MLabQAMgt or MRadiopharmSc or MSc) and permission by special approval,,CBMS306,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS306,none,no quota,No,,,,
Graduate,CBMS607,Physical and Environmental Chemistry I,4,,Graduate,CBMS602 and (admission to MLabQAMgt or MRadiopharmSc or MSc or MBiotech or MBiotechMCom),,CBMS207,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS207,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS620 in 2018,Robert Willows
Graduate,CBMS608,Chemical Analysis I,4,,Graduate,CBMS602 and (admission to MLabQAMgt or MRadiopharmSc or MSc or MBiotech or MBiotechMCom),,CBMS208,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS208,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS620 in 2018,Robert Willows
Graduate,CBMS615,Microbiology,4,,Graduate,Admission to MLabQAMgt or MRadiopharmSc or MBiotech or MBiotechMCom or MSc,,CBMS215,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS215, ",none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS622 in 2018,Robert Willows
Graduate,CBMS617,Foundations of Chemical and Biomolecular Sciences 1,4,,Graduate,Admission to MLabQAMgt or MRadiopharmSc or MSc or MBiotech or MBioBus,,"CBMS103, CBMS107, CBMS603","S1 Day
S2 External","
Compulsory",Department of Chemistry and Biomolecular Sciences,No,CBMS107,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,ASQC Co-teaching was only approved only for 2017,Robert Willows
Graduate,CBMS618,Foundations of Chemical and Biomolecular Sciences 2,4,,Graduate,Admission to MLabQAMgt or MRadiopharmSc or MSc or MBiotech or MBioBus,,"CBMS102, CBMS108, CBMS602",S2 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS108, ",none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,ASQC Co-teaching was only approved only for 2017,Robert Willows
Graduate,CBMS623,Biochemistry,4,,Graduate,Admission to MLabQAMgt or MRadiopharmSc or MBiotech or MBiotechMCom or MSc,,CBMS223,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS223,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS621 in 2018,Robert Willows
Graduate,CBMS624,Molecular Biology,4,,Graduate,Admission to MLabQAMgt or MRadiopharmSc or MBiotech or MBiotechMCom or MSc,,CBMS224,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS224, ",none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS622 in 2018,Robert Willows
Graduate,CHIR602,Chiropractic A,8,,Graduate,Admission to MChiroprac,,CHIR211,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Graduate,CHIR603,Chiropractic B,8,,Graduate,CHIR602,,CHIR311,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Graduate,CHIR604,Medical Sciences A,4,,Graduate,Admission to MChiroprac,,"HLTH311, HLTH316",S1 Day,,Department of Chiropractic,No,"HLTH316, ",none,no quota,No,,,,
Graduate,CHIR605,Medical Sciences B,4,,Graduate,CHIR604,,HLTH317,S2 Day,,Department of Chiropractic,No,"HLTH317, ",none,no quota,No,,,,
Graduate,CHIR606,Radiographic Science,4,,Graduate,Admission to MChiroprac,,HLTH304,S1 Day,,Department of Chiropractic,No,"HLTH304, ",none,no quota,No,,,,
Graduate,CHIR607,Diagnostic Sciences,4,,Graduate,CHIR604,CHIR605,HLTH333,S2 Day,,Department of Chiropractic,No,"HLTH333, ",none,no quota,No,,,,
Graduate,ELEC624,Feedback Control Dynamic Systems,4,,Graduate,"Admission to MEng
",,ELEC324,S1 Day,,Department of Engineering,No,ELEC324,none,no quota,No,,,,
Graduate,ELEC626,Advanced Telecommunications Engineering,4,,Graduate,"Admission to MEng
",,ELEC426,S1 Day,,Department of Engineering,No,"ELEC426, ",none,no quota,No,"NCCW
Co-Taught Units","ELEC426, ELEC826
ELEC426, ELEC826","New 800 level cotaught offering


Note from C&P: The new co-taught does not comply with the shared teaching policy. If required, it will need to be submitted to ASQC as an exception.","Karu Esselle
Byron Wilson"
Graduate,ELEC643,Digital Systems Design,4,,Graduate,"Admission to MEng
",,ELEC343,S2 Day,,Department of Engineering,No,"ELEC343, ",none,no quota,No,,,,
Graduate,ELEC645,Communication Networks,4,,Graduate,"Admission to MEng
",,ELEC345,S1 Day,,Department of Engineering,No,ELEC345,none,no quota,No,,,,
Graduate,ELEC646,Advanced Computer Engineering,4,,Graduate,"Admission to MEng
",,ELEC446,S1 Day,,Department of Engineering,No,"ELEC446, ",none,no quota,No,,,,
Graduate,ELEC676,Electronic Devices and Systems,4,,Graduate,"Admission to MEng
",,ELEC376,S2 Day,,Department of Engineering,No,"ELEC376, ",none,no quota,No,"NCCW
Co-Taught Units","ELEC376, ELEC876
ELEC376, ELEC876","New 800 level cotaught offering


Note from C&P: The new co-taught does not comply with the shared teaching policy. If required, it will need to be submitted to ASQC as an exception.","Karu Esselle
Byron Wilson"
Graduate,ELEC677,Advanced Electronics Engineering,4,,Graduate,"Admission to MEng
",,ELEC476,S1 Day,,Department of Engineering,No,"ELEC476, ",none,no quota,No,,,,
Graduate,ELEC680,Wireless Technology and Systems,4,,Graduate,"Admission to MEng
",,ELEC380,TBD,,Department of Engineering,No,"ELEC380, ",none,no quota,No,,,,
Graduate,ELEC686,Advanced Wireless Engineering,4,,Graduate,Admission to MEng,,ELEC486,TBD,,Department of Engineering,No,none,none,no quota,No,,,,
Graduate,ENGG600,Engineering Project Practice,4,,Graduate,Admission to MEng,,,S2 Day,,Department of Engineering,No,"ENGG300, ",none,no quota,No,,,,
Graduate,ENGG625,Engineering Simulation,4,,Graduate,Admission to MEng,,,TBD,,Department of Engineering,No,none,none,no quota,No,,,,
Graduate,ENGG650,Systems Design and Engineering,4,,Graduate,Admission to MEng,,"ENGG450, ELEC450",S1 Day,,Department of Engineering,No,"ENGG450, ",none,no quota,No,,,,
Graduate,ENVS602,Special Topic in Environment A: Biophysical Environments,4,,Graduate,Admission to MEnv or GradDipEnv or GradCertEnv or MEnvPlan or MSusDev or GradDipSusDev or GradCertSusDev or MSc,,ENVG602,"S1 Day
S1 External","
Compulsory",Department of Environmental Sciences,No,ENVS117,none,no quota,No,Name,Biophysical Environments,,Assoc Prof Paul Beggs
Graduate,ITEC600,IT and the Future of Society,4,,Graduate,Admission to MInfoTech or MEng or MSc,,ISYS200,S2 Day,,Department of Computing,No,ISYS200,none,no quota,No,,,,
Graduate,ITEC601,Enterprise Systems Integration,4,,Graduate,Admission to MInfoTech or MEng or MSc,,ISYS301,S2 Day,,Department of Computing,No,ISYS301,none,no quota,No,,,,
Graduate,ITEC602,Management of IT Systems and Projects,4,,Graduate,Admission to MInfoTech or MEng or MSc,,ISYS302,S1 Day,,Department of Computing,No,ISYS302,none,no quota,No,,,,
Graduate,ITEC624,Database Systems,4,,Graduate,,,ISYS224,TBD,,Department of Computing,No,"ISYS224, ",none,no quota,No,,,,
Graduate,ITEC625,Fundamentals of Computer Science,4,,Graduate,,,COMP125,TBD,,Department of Computing,No,none,none,no quota,No,,,,
Graduate,ITEC626,Advanced Databases and Enterprise Systems,4,,Graduate,,,ISYS326,TBD,,Department of Computing,No,"COMP336, ",none,no quota,No,,,,
Graduate,ITEC629,Object-Oriented Programming Practices,4,,Graduate,,,COMP229,TBD,,Department of Computing,No,"COMP229, ",none,no quota,No,,,,
Graduate,ITEC643,Cryptography and Information Security,4,,Graduate,Admission to MInfoTech or MEng or MSc,,COMP343,S1 Day,,Department of Computing,No,"COMP343, ",none,no quota,No,,,,
Graduate,ITEC644,E-Commerce Technology,4,,Graduate,,,COMP344,TBD,,Department of Computing,No,"COMP344, ",none,no quota,No,,,,
Graduate,ITEC647,Data Communication,4,,Graduate,Admission to MInfoTech or MEng or MSc,,COMP247,S1 Day,,Department of Computing,No,"COMP247, ",none,no quota,No,,,,
Graduate,ITEC648,Document Processing and the Semantic Web,4,,Graduate,,,COMP348,TBD,,Department of Computing,No,"COMP348, ",none,no quota,No,,,,
Graduate,ITEC649,Web Technology,4,,Graduate,Admission to MInfoTech or MEng or MSc,,COMP249,S1 Day,,Department of Computing,No,COMP249,none,no quota,No,,,,
Graduate,ITEC654,"Applications, Modelling and Development",4,,Graduate,Admission to MInfoTech or MEng or MSc,,ISYS254,S1 Day,,Department of Computing,No,ISYS254,none,no quota,No,,,,
Graduate,ITEC660,Technology Management,4,,Graduate,,,ISYS360,TBD,,Department of Computing,No,"ISYS360, ",none,no quota,No,,,,
Graduate,ITEC692,Systems Programming,4,,Graduate,,,COMP202,TBD,,Department of Computing,No,"COMP202, ",none,no quota,No,,,,
Graduate,ITEC697,Computer Networks,4,,Graduate,Admission to MInfoTech or MEng or MSc,,COMP347,S2 Day,,Department of Computing,No,COMP347,none,no quota,No,,,,
Graduate,ITEC699,Foundation Topic in Computing,4,,Graduate, (Admission to MInfoTech or MEng or MSc) and permission by special approval,,,"S1 Day
S2 Day",,Department of Computing,No,none,none,no quota,No,,,,
Graduate,MATH604,Mathematical Modelling,4,,Graduate,Admission to MAppStat or GradDipAppStat or MSc,,ACST604,"S1 Online
S2 Online","
",Department of Mathematics,No,none,none,no quota,No,Prerequisite,Admission to MAppStat or GradDipAppStat or MSc or MDataSc,Adding Master of Data Science,Georgy Sofronov
Graduate,STAT670,Introductory Statistics,4,,Graduate,Admission to MAppStat or GradDipAppStat or MBiotech or MRadiopharmSc or MSc,,,"S1 External
S2 External","None
None",Department of Statistics,No,none,none,no quota,No,Prerequisite,Admission to MAppStat or GradCertAppStat or GradDipAppStat or MBiotech or MRadiopharmSc or MSc or MDataSc or MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMg,Adding Graduate Certificate of Applied Statistics and Master of Data Science,"Georgy Sofronov, Maurizio Manuguerra"
Graduate,STAT680,Applied Statistics,4,,Graduate,Admission to MAppStat or GradDipAppStat or MSc,STAT670,,"S1 Day
S1 External
S2 Evening
S2 External","
None

None",Department of Statistics,No,STAT270,none,no quota,No,Prerequisite,Admission to MAppStat or GradCertAppStat or GradDipAppStat or MSc or MDataSc or MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMg,Adding Graduate Certificate of Applied Statistics and Master of Data Science,"Georgy Sofronov, Maurizio Manuguerra"
Graduate,STAT683,Introduction to Probability,4,,Graduate,Admission to MAppStat or GradDipAppStat or MSc,STAT670,,"S1 Day
S1 External
S2 Day
S2 External","
None

None",Department of Statistics,No,STAT273,none,no quota,No,Prerequisite,Admission to MAppStat or GradCertAppStat or GradDipAppStat or MSc or MDataSc,Adding Graduate Certificate of Applied Statistics and Master of Data Science,Georgy Sofronov
Research,ASTR707,Advanced Astrophysics,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,ASTR708,Introduction to Particle Physics and Cosmology,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
